From,To,Label,Type,Tags,Description,End Date,Member Link to List,Publication Date,Size,Start Date,Website,Wikipedia Article
DoNotTrack.Us,Cookie Clearinghouse,,Similar Efforts/Projects/Work,,,,,,,,,
CEF Telecom,CEF Building Blocks / CEF Digital Portal,,Government Connection,,,,,,,,,
ELSA,STORK,,Connection,,,,,,,,,
European Commission,Horizon 2020,,Government Connection,,,,,,,,,
John Bradley,OpenID Connect Discovery 1.0,,Author,,,,,,,,,
T. Lodderstedt,MODRNA Discovery,,Author,,,,,,,,,
"International Working Group on Data Protection in Telecommunications (IWGDPT) ""The Berlin Group""",Working Paper on Privacy and Wearable Computing Devices,,Author,,,,,,,,,
ITU-T  International Telecommunication Union,United Nations,,Government Connection,,,,,,,,,
Justin Richer,Health Relationship Trust Profile for Fast Healthcare Interoperability Resources (FHIR) OAuth 2.0 Scopes,,Author,,,,,,,,,
World Bank,Digital Identity: Towards Shared Principles for Public and Private Sector Cooperation A joint World Bank Group – GSMA – Secure Identity Alliance Discussion Paper,,Author,,,,,,,,,
Dick Hardt,Fast Federation,,Chair / Vice Chair,,,,,,,,,
InternetNZ,The Internet Technical Advisory Committee,,General Member,,,,,,,,,
Consent Receipt Specification,Initial Open Notice Call for Collaboration,,Author,,,,,,,,,
Department of Justice,United States Government,,Government Connection,,,,,,,,,
Privacy Commissioner of Canada (Commissariat à la protection de la vie privée du Canada),Canadian Government,,Government Connection,,,,,,,,,
EEMA,Vendorcom,,Collaboration Partner / Affiliate,,,,,,,,,
American Bar Association: Identity Management Legal Taskforce,International Identity Law and Policy Workshop,,Sponsor,,,,,,,,,
Identity Metasystem Interoperability (IMI),OASIS,,Organization for Group,,,,,,,,,
ESI European Software Institute,European Trust Foundation,,Executive Member,,,,,,,,,
Paul Simmonds,“Identity” Commandments,,Author,,,,,,,,,
Privacy Considerations for Internet Protocols,IETF,,Organization for Group,,,,,,,,,
University of Murcia,Trust in Digital Life,,General Member,,,,,,,,,
Thales Communications SA,Thales,,Organization for Group,,,,,,,,,
Computer Science and Telecommunications Board; Division on Engineering and Physical Sciences; National Research Council,Privacy Research and Best Practices:  Summary of a Workshop for the Intelligence Community,,Author,,,,,,,,,
WISER Wide-Impact cyber Security Risk framework,"Cyber secure, innovative smart energy products",,Funding Flow,,,,,,,,,
Health Relationship Trust Profile for OpenID Connect 1.0,HEART Working Group,,Specification of Group,,,,,,,,,
OpenID Connect Dynamic Client Registration 1.0,AB/Connect Working Group,,Specification of Group,,,,,,,,,
eIDAS,Identity Law & Policy Workshop Amsterdam,,Connection,,,,,,,,,
NMRG Network Management Research Group,Internet Research Task Force IRTF,,Organization for Group,,,,,,,,,
Financial API Working Group,OpenID Foundation,,Organization for Group,,,,,,,,,
Experian,OIX-UK,,Executive Member,,,,,,,,,
Department of Homeland Security,US National Information Exchange Model,,Founder,,,,,,,,,
Truxtun Capital,Trust in Digital Life,,General Member,,,,,,,,,
Ian Henderson,Consent and Information Sharing Working  Group,,Chair / Vice Chair,,,,,,,,,
FutureID,Future Trust,,Connection,,,,,,,,,
Lucile Girollet,Civil Registry Consolidation through Digital Identity Management,,Author,,,,,,,,,
Mike Jones,EAP ACR Values,,Author,,,,,,,,,
Group Security Research Group,IETF,,Organization for Group,,,,,,,,,
STORK,STORK 2.0,,Connection,,,,,,,,,
National Interoperability Framework Observatory (NIFO),eGov State of Play - Reports,,Author,,,,,,,,,
United States Government,World Bank,,Executive Member,,,,,,,,,
Computer Science and Telecommunications Board; Division on Engineering and Physical Sciences; National Research Council,The Internet's Coming of Age,,Author,,,,,,,,,
Western Hemisphere Travel Initiative,Trusted Traveler Programs,,Government Connection,,,,,,,,,
IEEE Computer Society,IEEE Cybersecurity Initiative,,Founder,,,,,,,,,
CFRG Crypto Forum Research Group,Internet Research Task Force IRTF,,Organization for Group,,,,,,,,,
"International Working Group on Data Protection in Telecommunications (IWGDPT) ""The Berlin Group""",Working Paper on privacy risks in the re-use of email accounts and similar information society services,,Author,,,,,,,,,
Justin Richer,OAuth Token Introspection (RFC7662),,Author,,,,,,,,,
EEMA,Trust in Digital World,,Convenor,,,,,,,,,
Maciej Machulak,UMA Developer,,Person Affiliated,,,,,,,,,
Digital Single Market,Economy & Society,,Government Connection,,"The Digital Single Market strategy aims to open up digital opportunities for people and business and enhance Europe's position as a world leader in the digital economy.

The Digital Single Market Strategy will maximise the growth potential of the European Digital Economy and of its society, so that every European can enjoy its full benefit.

The economy and society of Europe need to make the most of digital. 47% of EU population is not properly digitally skilled, yet in the near future, 90% of jobs will require some level of digital skills.",2016-12-31,,,,2015-09-06,https://ec.europa.eu/digital-single-market/en/digital-single-market,
American Registry for Internet Numbers (ARIN),Number Resource Organization (NRO),,General Member,,,,,,,,,
Open Identity Exchange,OIX-UK,,Connection,,,,,,,,,
Future of Identity in the Information Society (FIDIS),Mobility and Identity,,Author,,,,,,,,,
Federal Trade Commission,The International Conference of Data Protection and Privacy Commissioners,,General Member,,,,,,,,,
Graz University of Technology,The Secure Information Technology Center – Austria (A-SIT),,Funding Flow,,,,,,,,,
The Institute for Law and the Web at the University of Southampton (ILAWS),University of Southampton,,Organization for Group,,,,,,,,,
comsign,Justice Ministry in Israel,,Certified IdP,,,,,,,,,
IBM Research - Zurich,IBM,,Organization for Group,,,,,,,,,
Center for Internet and Society,Stanford,,Organization for Group,,,,,,,,,
eIDAS,International Identity Law and Policy Workshop,,,,,,,,,,,
T2TRG Thing-to-Thing Research Group,Internet Research Task Force IRTF,,Organization for Group,,,,,,,,,
NFVRG Network Function Virtualization Research Group,Service Function Chaining  (sfc),,Connection,,,,,,,,,
eIDAS,FutureID,,Government Connection,,,,,,,,,
"Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs (DG GROWTH )",eInvoicing,Implementation of the EU Policy,Government Connection,,,,,,,,,
eSignature,EU Trusted List Scheme Operators,,Connection,,,,,,,,,
Cryptas,Trust in Digital Life,,General Member,,,,,,,,,
Chuck Mortimore,OpenID Connect Profile for SCIM Services,,Author,,,,,,,,,
OneTurst,Annual Privacy Forum,,Sponsor,,,,,,,,,
USCIS US Citizenship and Immigration Services - Department of Homeland Security,Electronic Verification of Vital Events (EVVE),,Customer of Service / Company,,,,,,,,,
NEC Laboratories Europe,NEC,,Organization for Group,,,,,,,,,
Thomas Hardjono,Blockchain and Smart Contracts Discussion Group,,Chair / Vice Chair,,,,,,,,,
Tracking Compliance and Scope,The Tracking Protection Working Group,,Specification of Group,,,,,,,,,
Verification of Lawful Status (VLS),American Association of Motor Vehicle Administrators,,Organization for Group,,,,,,,,,
UK  Cabinet Office,OIX-UK,,Executive Member,,,,,,,,,
Working Party on Communications and Infrastructure Services Policy (CISP),The Economics of Personal Data and Privacy: 30 Years after the OECD Privacy Guidelines,,Convenor,,,,,,,,,
NASCIO,US National Information Exchange Model,,Executive Member,,,,,,,,,
Eurodocs,ABC4Trust,,General Member,,,,,,,,,
SSEDIC - Scoping the Single European Digital Identity Community,SSEDIC.2020 - Scoping the Single European Digital Identity Community for the next decade,,Connection,,,,,,,,,
IEEE Cybersecurity Initiative,IEEE SecDev 2016,,Sponsor,,,,,,,,,
eIDAS,LIGHTEST,,Government Connection,,,,,,,,,
Global Identity Foundation,The Six Conundrums of Global Identity,,Author,,,,,,,,,
White House - Office of Science and Technology Policy,National Strategy for Trusted Identities in Cyberspace,,Author,,,,,,,,,
Tim Bray,AccountChooser Integration API Profile 1.0,,Author,,,,,,,,,
OpenID Connect Discovery 1.0,AB/Connect Working Group,,Specification of Group,,,,,,,,,
"International Working Group on Data Protection in Telecommunications (IWGDPT) ""The Berlin Group""",Working Paper on Privacy and Aerial Surveillance,,Author,,,,,,,,,
Identification cards – Machine readable travel documents – Part 1: Machine readable passport,Machine Readable Travel Documents WG3,,Specification of Group,,,,,,,,,
"TSDSI  Telecommunications Standards Development Society, Indiia",Global Standards Collaboration,,General Member,,,,,,,,,
Internet Architecture Board (IAB),IESG -  Internet Engineering Steering Group,,Connection,,,,,,,,,
Ku Leuven,Trust in Digital Life,,General Member,,,,,,,,,
Blockchain Working Group,"Blockchain: Perspectives on Research, Technology and Policy",,Author,,,,,,,,,
WISER Wide-Impact cyber Security Risk framework,Cyber secure assessment preferences of financial institutions,,Funding Flow,,,,,,,,,
Public Service Development Agency,Future Trust,,General Member,,,,,,,,,
eIDAS,International Identity Law and Policy Workshop,,Connection,,,,,,,,,
Privacy Engineering,National Institute of Standards (NIST),,Organization for Group,,,,,,,,,
European Commission,Connecting Europe Facility CEF  Telecom Expert Group,,Government Connection,,,,,,,,,
ISO/IEC JTC 1 / SC27 IT Security Techniques,ISO/IEC,,Organization for Group,,,,,,,,,
Directorate-General for Informatics (DIGIT),eGov State of Play - Reports,,Author,,,,,,,,,
Thales Communications SA,Trust in Digital Life,,General Member,,,,,,,,,
