Label,Type,Tags,Description,End Date,Member Link to List,Publication Date,Size,Start Date,Website,Wikipedia Article
Privacy Badger,Open Source Project,,"Privacy Badger is a browser add-on that stops advertisers and other third-party trackers from secretly tracking where you go and what pages you look at on the web.  If an advertiser seems to be tracking you across multiple websites without your permission, Privacy Badger automatically blocks that advertiser from loading any more content in your browser.  To the advertiser, it's like you suddenly disappeared.",,,,,,https://www.eff.org/privacybadger,
ISA2 Interoperability Solutions for European Public Administrators,Part of Supra-National Government,,"The ISA² programme supports the development of digital solutions that enable public administrations, businesses and citizens in Europe to benefit from interoperable cross-border and cross-sector public services.

Solutions developed by ISA² and under its predecessor ISA are generally available for free and can be found here.

ISA² will run from 1 January 2016 until 31 December 2020. The programme was adopted in November 2015 by the European Parliament and the Council of European Union. To celebrate this, a conference 'From ISA to ISA²' was held on 3 March 2016 in the presence of Commission Vice-President Ansip and Commissioner Oettinger.",2020-12-31,,,,2016-01-01,http://ec.europa.eu/isa/isa2/index_en.htm,
Fluffy: Simplified Key Exchange for Constrained Environments,Specification,,,,,,,,,
STORK 2.0,Research Project,,"Secure idenTity acrOss boRders linKed 2.0 will contribute to the realization of a single European electronic identification and authentication area. It builds on the results of STORK, establishing interoperability of different approaches at national and EU level, eID for persons, eID for legal entities.

STORK 2.0 will be a step forward towards the creation of a fully operational framework and infrastructure for electronic identities and authentication in the EU. It does so through:
* Exploiting experiences from four cross border, cross sector pilots with real impact demonstrating the use and societal impact of the cross border, cross sector infrastructure developed;
* Common specifications and building blocks for interoperable legal identities and mandates, on top of the interoperability infrastructure developed in STORK, following privacy rules (and advice from Art.29 Working Party) and enabling secure operation;
* Solving within the scope of the pilots legal issues such as privacy/data protection, liability, different National regimes,
* An update of the QAA model to include attributes, legal entities and mandate agreements;
* eID packaged as a service for governments and businesses including a cost model and promoting the business take-up of STORK;
* Addressing eID governance issues through the requirements for an accreditation body
* Investigating and promoting standardization in the area of eID using STORK 2.0 solutions
* A knowledge repository and awareness of the STORK 2.0 infrastructure and its potential societal impact on business processes.

STORK 2.0 Pilots, focused on strategic eLearning and Academic Qualifications, eBanking, Public Services for Business and eHealth areas, will demonstrate interoperable services that e-ID can offer in real-life settings and validate common specifications, standards and building blocks, convincingly addressing challenging legal and governance issues (across borders, application domains and different sectors). These applications will test the ease towards borderless digital living and mobility in the EU, enhancing the Digital Single Market for public and commercial services in alignment with the Services Directive. As a result of our vision of e-ID as a Service Offering, STORK 2.0 methodology seeks to maximize take-up of its scalable solutions by European public and private sectors, with a strong commitment to open specifications and long-term sustainability (backed by participating European industry). STORK 2.0 will be a key-enabler to support the open, competitive digital economy envisaged in the Europe 2020 Strategy and is aligned with Key Actions in the Digital Agenda, thus contributing to Europe’s leadership role of the eID market. Strong liaisons are being established with other LSPs (epSOS, PEPPOL, SPOCS, e-CODEX and e-SENS), the thematic network SSEDIC, as well as ISA’s STORK Sustainability action, closely following and relating to other international efforts in eID.

The STORK 2.0 consortium comprises 19 EU MS / Associated Countries driving the Pilot and building a common, comprehensive and long-term vision of eID in Europe. Private and public organizations are involved in the management, technical infrastructure and dissemination of the pilots. It includes 13 countries with previous STORK interoperability infrastructure and pioneering services and 6 new countries joining the new technical infrastructure. Different types of organizations (industry, academia, government) of different levels (local, regional, national) covering the entire eID delivery chain of value will be included in pilot activities, from public and private identity & attribute providers and organizations responsible for common infrastructure components in each MS to providers in real-life settings of content and services for STORK 2.0 end-users (both natural & legal persons). This ensures pilots serve real needs, beyond the lifetime of STORK 2.0.

The consortium has been formed in an open way, maximizing the possibilities for many to collaborate. Furthermore, the consortium regularly informs the public and relevant stakeholders on the progress made, asks for input and aligns strategies. STORK 2.0 offers the opportunity to other European countries, industry, standardization bodies and other ICT-PSP projects to play an important role in benefitting from and enriching the results of the project through knowledge sharing via a number of open workshops, focus groups and dissemination channels. Non-European countries representatives are invited as well to join the project as project external advisors. This also creates a base for future take-up up beyond the current partnership. All results (i.e. specifications of interfaces, protocols, architecture, open source reference implementations of necessary components and building blocks for interoperability) will be freely available after the end of the pilot online, and partners of the consortium are committed.",,,,,,https://www.eid-stork.eu,
e-Government Core Vocabularies,Working Group,,"The e-Government Core Vocabularies are simplified, re-usable and extensible data models that capture the fundamental characteristics of an entity, such as a person, a business, a location or a public service, in a context-neutral way. They can be used by public administrations to attain a minimum level of semantic interoperability for e-Government systems.

Core Vocabularies are simplified, re-usable and extensible data models that capture the fundamental characteristics of an entity in a context-neutral fashion. Public administrations can use and extend the Core Vocabularies in the following contexts:

Development of new systems: the Core Vocabularies can be used as a default starting point for designing the conceptual and logical data models in newly developed information systems.

Information exchange between systems: the Core Vocabularies can become the basis of a context-specific data model used to exchange data among existing information systems.

Data integration: the Core Vocabularies can be used to integrate data that comes from disparate data sources and create a data mesh-up.

Open data publishing: the Core Vocabularies can be used as the foundation of a common export format for data in base registries like cadastres, business registers and public service portals.

CORE Business Vocabulary
CORE Location Vocabulary
CORE Person Vocabulary
CORE Public Service Vocabulary
CORE Criterion & Evidence Vocabulary
CORE Public Organization Vocabulary",,,,,,https://joinup.ec.europa.eu/node/145983,
Open Web Platform,Specification,,"The Open Web Platform is the collection of open (royalty-free) technologies which enables the Web. Using the Open Web Platform, everyone has the right to implement a software component of the Web without requiring any approvals or waiving license fees.",,,,,,https://www.w3.org/wiki/Open_Web_Platform,
Jim Hazard,Person,,,,,,,,,
ISO/IEC JTC 1/SC 37 Biometrics,,,,,,,,,,
InternetNZ,Organization / Trade Association,,"InternetNZ is a voice, a helping hand and a guide to the Internet for all New Zealanders. It provides a voice for the Internet, to the government and the public; it gives a helping hand to the Internet community; and it provides a guide to those who seek  knowledge, support or any other method of benefiting the Internet and its users.

InternetNZ (""Internet New Zealand Inc."" and originally formed as the Internet Society of New Zealand) is a not-for-profit open membership organisation dedicated to protecting and promoting the Internet for New Zealand. It's vision is for a better world through a better Internet and it promotes the Internet’s benefits and protect its potential. InternetNZ focuses on advancing an open and uncaptureable Internet for New Zealand.",,,,,,https://internetnz.nz/about,https://en.wikipedia.org/wiki/InternetNZ
Digital Footprint Videos,Discussion Group,,"our digital footprint paints a picture of who you are.
Make sure it's accurate. Learn how in a few easy tutorials.
Every day, whether we want to or not, most of us contribute to a growing portrait of who we are online; a portrait that is probably more public than we assume.
This portrait helps companies target content at specific markets and consumers, helps employers look into your background, and helps advertisers track your movements across multiple websites. Whatever you do online, you might be leaving digital footprints behind.
So no matter what you do online it’s important that you know what kind of trail you’re leaving, and what the possible effects can be. 
While it's not possible to have ZERO footprints, the first steps toward reducing your digital footprint and managing your digital identity are not that hard.",,,,,,http://www.internetsociety.org/your-digital-footprint,
